Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
0,63.33215714,43.5625,99.571875,102,102.6968765,63.33215714,132,81,56.00624847,96,0.922714531
0.01,63.33215714,43.5625,94.63125,102,95.75312424,63.33215714,132,81,56.00624847,96,0.922714531
0.02,63.33215714,43.5625,88.975,102,89.60312653,63.33215714,132,81,56.00624847,96,0.922714531
0.03,63.33215714,43.5625,85.290625,102,84.69375229,63.33215714,132,81,56.00624847,96,0.922714531
0.04,63.33215714,43.5625,81.928125,102,82.21250153,63.33215714,132,81,56.00624847,96,0.922714531
0.05,63.33215714,43.5625,78.13125,102,79.57500076,63.33215714,132,81,56.00624847,96,0.922714531
0.06,63.33215714,43.5625,76.1,102,78.32187653,63.33215714,132,81,56.00624847,96,0.922714531
0.07,63.33215714,43.5625,75.159375,102,77.18125153,63.33215714,132,81,56.00624847,96,0.922714531
0.08,63.33215714,43.5625,75.9875,102,75.15000153,63.33215714,132,81,56.00624847,96,0.922714531
0.09,63.33215714,43.5625,76.584375,102,73.15000153,63.33215714,132,81,56.00624847,96,0.922714531
0.1,63.33215714,43.5625,75.75625,102,71.15000153,63.33215714,132,81,56.00624847,96,0.922714531
0.11,63.33215714,43.5625,73.11875,102,69.16562653,63.33215714,132,81,56.00624847,96,0.922714531
0.12,63.33215714,43.5625,71.021875,102,67.25624847,63.33215714,132,81,56.00624847,96,0.922714531
0.13,63.33215714,43.5625,69.328125,102,67.02187347,63.33215714,132,81,56.00624847,96,0.922714531
0.14,63.33215714,43.5625,67.28125,102,67.15625,63.33215714,132,81,56.00624847,96,0.922714531
0.15,63.33215714,43.5625,64.69375,102,68.27187729,63.33215714,132,81,56.00624847,96,0.922714531
0.16,63.33215714,43.5625,59.95625,102,70.87187576,63.33215714,132,81,56.00624847,96,0.922714531
0.17,63.33215714,43.5625,54.95,102,73.671875,63.33215714,132,81,56.00624847,96,0.922714531
0.18,63.33215714,43.5625,51.9375,102,77.69375229,63.33215714,132,81,56.00624847,96,0.922714531
0.19,63.33215714,43.5625,51.703125,102,81.56562424,63.33215714,132,81,56.00624847,96,0.922714531
0.2,63.33215714,43.5625,53.3375,102,84.56562805,63.33215714,132,81,56.00624847,96,0.922714531
0.21,63.33215714,43.5625,57.078125,102,86.83749771,63.33215714,132,81,56.00624847,96,0.922714531
0.22,63.33215714,43.5625,59.615625,102,88.75312424,63.33215714,132,81,56.00624847,96,0.922714531
0.23,63.33215714,43.5625,60.790625,102,89.03125,63.33215714,132,81,56.00624847,96,0.922714531
0.24,63.33215714,43.5625,61.375,102,88.30937576,63.33215714,132,81,56.00624847,96,0.922714531
0.25,63.33215714,43.5625,61.66875,102,87.18437576,63.33215714,132,81,56.00624847,96,0.922714531
0.26,63.33215714,43.5625,62.05,102,85.15000153,63.33215714,132,81,56.00624847,96,0.922714531
0.27,63.33215714,43.5625,62.44375,102,83.13750076,63.33215714,132,81,56.00624847,96,0.922714531
0.28,63.33215714,43.5625,61.665625,102,81.02499771,63.33215714,132,81,56.00624847,96,0.922714531
0.29,63.33215714,43.5625,60.440625,102,78.11562347,63.33215714,132,81,56.00624847,96,0.922714531
0.3,63.33215714,43.5625,59.14375,102,76.140625,63.33215714,132,81,56.00624847,96,0.922714531
0.31,63.33215714,43.5625,58.25,102,74.03749847,63.33215714,132,81,56.00624847,96,0.922714531
0.32,63.33215714,43.5625,57.328125,102,71.24374771,63.33215714,132,81,56,96.00624847,0.922714531
0.33,63.33215714,43.5625,56.30625,102,70.19062805,63.33215714,132,81,56,96.00624847,0.922714531
0.34,63.33215714,43.5625,55.503125,102,68.11250305,63.33215714,132,81,56,96.00624847,0.922714531
0.35,63.33215714,43.5625,54.8625,102,66.83124924,63.33215714,132,81,56,96.00624847,0.922714531
0.36,63.33215714,43.5625,54.053125,102,65.82500076,63.33215714,132,81,56,96.00624847,0.922714531
0.37,63.33215714,43.5625,52.8,102,64.828125,63.33215714,132,81,56,96.00624847,0.922714531
0.38,63.33215714,43.5625,51.853125,102,63.82812309,63.33215714,132,81,56,96.00624847,0.922714531
0.39,63.33215714,43.5625,50.6875,102,62.828125,63.33215714,132,81,56,96.00624847,0.922714531
0.4,63.33215714,43.5625,50.303125,102,61.84062386,63.33215714,132,81,56,96.00624847,0.922714531
0.41,63.33215714,43.5625,49.43125,102,61.00625038,63.33215714,132,81,56,96.00624847,0.922714531
0.42,63.33215714,43.5625,48.428125,102,60.28750038,63.33215714,132,81,56,96.00624847,0.922714531
0.43,63.33215714,43.5625,47.528125,102,60.04374886,63.33215714,132,81,56,96.00624847,0.922714531
0.44,63.33215714,43.5625,46.509375,102,59.28125,63.33215714,132,81,56,96.00624847,0.922714531
0.45,63.33215714,43.5625,45.984375,102,59.00937462,63.33215714,132,81,56,96.00624847,0.922714531
0.46,63.33215714,43.5625,45.18125,102,59,63.33215714,132.0031281,81,55.99687576,96.00937271,0.922714531
0.47,63.33215714,43.5625,44.096875,102,59.01250076,63.33215714,132.0406265,81,55.89687538,96.109375,0.922714531
0.48,63.33215714,43.5625,43.825,102,59.08124924,63.33215714,131.2843781,81,58.15937614,93.84687424,0.922714531
0.49,63.33215714,43.5625,43.796875,102,61.64687538,63.33215714,131.0093765,81,58.984375,93.02187347,0.922714531
0.5,63.33215714,43.5625,43.821875,102,67.42812347,63.33215714,131,81,59.00937462,92.99687576,0.922714531
0.51,63.33215714,43.5625,43.803125,102,79.03125,63.33215714,131,81,59.00624847,93,0.922714531
0.52,63.33215714,43.5625,43.821875,102,94.82187653,63.33215714,131,81,59.00624847,93,0.922714531
0.53,63.33215714,43.5625,44.48125,102,110.7562485,63.33215714,131,81,59.00624847,93,0.922714531
0.54,63.33215714,43.5625,48.734375,102,123.2468758,63.33215714,131,81,59.00624847,93,0.922714531
0.55,63.33215714,43.5625,57.615625,102,129.640625,63.33215714,131,81,59.00624847,93,0.922714531
0.56,63.33215714,43.5625,69.425,102,131.765625,63.33215714,131,81,59.00624847,93,0.922714531
0.57,63.33215714,43.5625,77.9875,102,131.1468735,63.33215714,131,81,59.00624847,93,0.922714531
0.58,63.33215714,43.5625,86.259375,102,128.9031219,63.33215714,131,81,59.00624847,93,0.922714531
0.59,63.33215714,43.5625,92.825,102,124.1374969,63.33215714,131,81,59.00624847,93,0.922714531
0.6,63.33215714,43.5625,97.98125,102,118.3500023,63.33215714,131,81,59.00624847,93,0.922714531
0.61,63.14003525,42.2,100.41875,101.625,110.7156258,63.14003525,131,81,59.00624847,93,0.941246569
0.62,62.85185242,40.15625,99.209375,101.0625,103.6062469,62.85185242,131,81,59.00624847,93,0.969044626
0.63,62.85185242,40.15625,94.334375,101.0625,96.38750076,62.85185242,131,81,59.00624847,93,0.969044626
0.64,62.85185242,40.15625,89.85625,101.0625,91.28125,62.85185242,131,81,59.00624847,93,0.969044626
0.65,62.85185242,40.15625,86.846875,101.0625,87.40625,62.85185242,131,81,59.00624847,93,0.969044626
0.66,62.85185242,40.15625,84.078125,101.0625,85.171875,62.85185242,131,81,59.00624847,93,0.969044626
0.67,62.85185242,40.15625,81.803125,101.0625,83.29374695,62.85185242,131,81,59.00624847,93,0.969044626
0.68,62.85185242,40.15625,81.01875,101.0625,82.328125,62.85185242,131,81,59.00624847,93,0.969044626
0.69,62.85185242,40.15625,81.046875,101.0625,81.3125,62.85185242,131,81,59.00624847,93,0.969044626
0.7,62.85185242,40.15625,81.696875,101.0625,80.18437576,62.85185242,131,81,59.00624847,93,0.969044626
0.71,62.85185242,40.15625,81.7625,101.0625,78.15000153,62.85185242,131,81,59.00624847,93,0.969044626
0.72,62.85185242,40.15625,80.44375,101.0625,76.13750076,62.85185242,131,81,59.00624847,93,0.969044626
0.73,62.85185242,40.15625,78.703125,101.0625,74.03437424,62.85185242,131,81,59.00624847,93,0.969044626
0.74,62.85185242,40.15625,76.946875,101.0625,71.25624847,62.85185242,131,81,59.00624847,93,0.969044626
0.75,62.85185242,40.15625,73.5125,101.0625,70.30937576,62.85185242,131,81,59.00624847,93,0.969044626
0.76,62.85185242,40.15625,69.95,101.0625,70.15000153,62.85185242,131,81,59.00624847,93,0.969044626
0.77,62.85185242,40.15625,65.771875,101.0625,71.14374924,62.85185242,131,81,59.00624847,93,0.969044626
