Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
0,56.47167206,40.1875,47.671875,79.65625,89.98750305,56.47167206,151,103,80.00624847,56.00624847,0.698912382
0.01,56.47167206,40.1875,47.440625,79.65625,89.92499924,56.47167206,151,103,80.00624847,56.00624847,0.698912382
0.02,56.47167206,40.1875,48.04375,79.65625,88.98125076,56.47167206,151,103,80.00624847,56.00624847,0.698912382
0.03,56.4717,40.1875,48.2625,79.6563,89.0375,56.4717,151,103,80.0062,56.0062,0.6989
0.04,56.4717,40.1875,48.7469,79.6563,88.3656,56.4717,151,103,80.0062,56.0062,0.6989
0.05,56.4717,40.1875,48.4781,79.6563,88.0031,56.4717,151,103,80.0062,56.0062,0.6989
0.06,56.4717,40.1875,47.9625,79.6563,88,56.4717,151,103,80.0062,56.0062,0.6989
0.07,56.4717,40.1875,46.6844,79.6563,88,56.4717,151,103,80.0062,56.0062,0.6989
0.08,56.4717,40.1875,45.8875,79.6563,88,56.4717,151,103,80.0062,56.0062,0.6989
0.09,56.4717,40.1875,44.7313,79.6563,87.9906,56.4717,151,103,80.0062,56.0062,0.6989
0.1,56.4717,40.1875,43.925,79.6563,87.9438,56.4717,151,103,80.0062,56.0062,0.6989
0.11,56.4717,40.1875,43.8406,79.6563,87.0812,56.4717,151,103,80.0062,56.0062,0.6989
0.12,56.4717,40.1875,43.8469,79.6563,87.4,56.4717,151,103,80.0062,56.0062,0.6989
0.13,56.4717,40.1875,43.8094,79.6563,86.9969,56.4717,151,103,80.0062,56.0062,0.6989
0.14,56.4717,40.1875,43.7938,79.6563,87,56.4717,151,103,80.0062,56.0062,0.6989
0.15,56.4717,40.1875,43.8344,79.6563,87.0062,56.4717,151,103,80.0062,56.0062,0.6989
0.16,56.4717,40.1875,43.8375,79.6563,87.0313,56.4717,151,103,80.0062,56.0062,0.6989
0.17,56.4717,40.1875,43.6219,79.6563,86.3656,56.4717,151,103,80.0062,56.0062,0.6989
0.18,56.4717,40.1875,42.9969,79.6563,85.9906,56.4717,151,103,80.0062,56.0062,0.6989
0.19,56.4717,40.1875,41.9844,79.6563,85.9125,56.4717,151,103,80.0062,56.0062,0.6989
0.2,56.4717,40.1875,41.2531,79.6563,84.9031,56.4717,151,103,80.0062,56.0062,0.6989
0.21,56.4717,40.1875,40.6187,79.6563,83.9688,56.4717,151,103,80.0062,56.0062,0.6989
0.22,56.4717,40.1875,40.7375,79.6563,83.9344,56.4717,151,103,80.0062,56.0062,0.6989
0.23,56.4717,40.1875,41.1812,79.6563,82.9781,56.4717,151,103,80.0062,56.0062,0.6989
0.24,56.4717,40.1875,41.3375,79.6563,83.0063,56.4717,150.9875,102.9969,79.9906,56.0125,0.6989
0.25,56.4717,40.1875,41.6094,79.6563,82.9688,56.4717,150.8844,102.975,79.8844,56.0625,0.6989
0.26,56.4717,40.1875,43.1469,79.6563,83.6094,56.4717,153.5531,103.6406,82.5531,54.7281,0.6989
0.27,56.4717,40.1875,47.7156,79.6563,85.4594,56.4717,155.0062,104.0031,84.0062,54.0031,0.6989
0.28,56.4717,40.1875,54.3219,79.6563,91.2813,56.4717,155.0125,104.0062,84.0125,54,0.6989
0.29,56.4717,40.1875,62.3531,79.6563,100.6812,56.4717,155,104.0062,84,54.0062,0.6989
0.3,56.4717,40.1875,69.7562,79.6563,114.0125,56.4717,155,104.0062,84,54.0062,0.6989
0.31,56.4717,40.1875,75.875,79.6563,128.0813,56.4717,155,104.0062,84,54.0062,0.6989
0.32,56.4717,40.1875,78.1031,79.6563,142.3094,56.4717,155,104.0062,84,54.0062,0.6989
0.33,56.4717,40.1875,78.5281,79.6563,151.15,56.4717,155,104.0062,84,54.0062,0.6989
0.34,56.4717,40.1875,78.5656,79.6563,154.775,56.4717,155,104.0062,84,54.0062,0.6989
0.35,56.4717,40.1875,78.9844,79.6563,155.3438,56.4717,155,104.0062,84,54.0062,0.6989
0.36,56.3977,38.8375,79.5469,81.8219,152.4938,56.3977,155,104.0062,84,54.0062,0.7622
0.37,56.3895,38.6875,79.5469,82.0625,147.4063,56.3895,155,104.0062,84,54.0062,0.7692
0.38,56.3895,38.6875,79.2031,82.0625,140.7531,56.3895,155,104.0062,84,54.0062,0.7692
0.39,56.3895,38.6875,77.1406,82.0625,133.7719,56.3895,155,104.0062,84,54.0062,0.7692
0.4,56.3895,38.6875,73.4031,82.0625,126.8406,56.3895,155,104.0062,84,54.0062,0.7692
0.41,56.3895,38.6875,70.3656,82.0625,120.8469,56.3895,155,104.0062,84,54.0062,0.7692
0.42,56.3895,38.6875,68.8063,82.0625,115.5344,56.3895,155,104.0062,84,54.0062,0.7692
0.43,56.3895,38.6875,69.4,82.0625,112.2938,56.3895,155,104.0062,84,54.0062,0.7692
0.44,56.3895,38.6875,71.175,82.0625,110.4312,56.3895,155,104.0062,84,54.0062,0.7692
0.45,56.3895,38.6875,72.6813,82.0625,111.0812,56.3895,155,104.0062,84,54.0062,0.7692
0.46,56.3895,38.6875,73.8688,82.0625,112.6938,56.3895,155,104.0062,84,54.0062,0.7692
0.47,56.3895,38.6875,74.9437,82.0625,115.4375,56.3895,155,104.0062,84,54.0062,0.7692
0.48,56.3895,38.6875,73.3156,82.0625,118.8156,56.3895,155,104.0062,84,54.0062,0.7692
0.49,56.3895,38.6875,70.6312,82.0625,121.7281,56.3895,155,104.0062,84,54.0062,0.7692
0.5,56.3895,38.6875,68.6188,82.0625,123.6469,56.3895,155,104.0062,84,54.0062,0.7692
0.51,56.3895,38.6875,68.1688,82.0625,123.9781,56.3895,155,104.0062,84,54.0062,0.7692
0.52,56.3895,38.6875,66.375,82.0625,121.6719,56.3895,155,104.0062,84,54.0062,0.7692
0.53,56.3895,38.6875,64.9969,82.0625,118.5875,56.3895,155,104.0062,84,54.0062,0.7692
0.54,56.3895,38.6875,63.4781,82.0625,115.2875,56.3895,155,104.0062,84,54.0062,0.7692
0.55,56.3895,38.6875,63.1844,82.0625,112.625,56.3895,155,104.0062,84,54.0062,0.7692
0.56,56.3895,38.6875,64.0375,82.0625,110.9063,56.3895,155,104.0062,84,54.0062,0.7692
0.57,56.3895,38.6875,64.9219,82.0625,109.9875,56.3895,155,104.0062,84,54.0062,0.7692
0.58,56.3895,38.6875,65.9,82.0625,110.0656,56.3895,155,104.0062,84,54.0062,0.7692
0.59,56.3895,38.6875,67.6969,82.0625,111.7219,56.3895,155,104.0062,84,54.0062,0.7692
0.6,56.3895,38.6875,67.9219,82.0625,113.7188,56.3895,155,104.0062,84,54.0062,0.7692
0.61,56.3895,38.6875,67.0219,82.0625,115.75,56.3895,155,104.0062,84,54.0062,0.7692
0.62,56.3895,38.6875,66.2375,82.0625,117.1,56.3895,155,104.0062,84,54.0062,0.7692
0.63,56.3895,38.6875,66.225,82.0625,118.0281,56.3895,155,104.0062,84,54.0062,0.7692
0.64,56.3895,38.6875,66.85,82.0625,118.0313,56.3895,155,104.0062,84,54.0062,0.7692
0.65,56.3895,38.6875,66.7313,82.0625,117.3875,56.3895,155,104.0062,84,54.0062,0.7692
0.66,56.3895,38.6875,66.15,82.0625,116.3156,56.3895,155,104.0062,84,54.0062,0.7692
0.67,56.3895,38.6875,65.3438,82.0625,114.3125,56.3895,155,104.0062,84,54.0062,0.7692
0.68,56.3895,38.6875,62.8344,82.0625,111.6531,56.3895,155,104.0062,84,54.0062,0.7692
0.69,56.3895,38.6875,61.2687,82.0625,109.2875,56.3895,155,104.0062,84,54.0062,0.7692
0.7,56.3895,38.6875,60.375,82.0625,107.2844,56.3895,155,104.0062,84,54.0062,0.7692
0.71,56.3895,38.6875,60.1594,82.0625,105.3,56.3895,155,104.0062,84,54.0062,0.7692
0.72,56.3895,38.6875,58.6406,82.0625,103.3625,56.3895,155,104.0062,84,54.0062,0.7692
0.73,56.3895,38.6875,57.0625,82.0625,102.2813,56.3895,155,104.0062,84,54.0062,0.7692
0.74,56.3895,38.6875,55.8781,82.0625,100.9,56.3895,155,104.0062,84,54.0062,0.7692
0.75,56.3895,38.6875,55.7531,82.0625,99.9844,56.3895,155,104.0062,84,54.0062,0.7692
0.76,56.3895,38.6875,56.1719,82.0625,100.05,56.3895,155,104.0062,84,54.0062,0.7692
0.77,56.3895,38.6875,56.1656,82.0625,99.4281,56.3895,155,104.0062,84,54.0062,0.7692
0.78,56.3895,38.6875,55.7406,82.0625,99.925,56.3895,155,104.0062,84,54.0062,0.7692
0.79,56.3895,38.6875,55.4688,82.0625,99.6063,56.3895,155,104.0062,84,54.0062,0.7692
0.8,56.3895,38.6875,54.2344,82.0625,100.0062,56.3895,155,104.0062,84,54.0062,0.7692
0.81,56.3895,38.6875,53.3937,82.0625,99.9625,56.3895,155,104.0062,84,54.0062,0.7692
0.82,56.3895,38.6875,53.3,82.0625,100.5406,56.3895,155,104.0062,84,54.0062,0.7692
0.83,56.3895,38.6875,54.1469,82.0625,100.6594,56.3895,155,104.0062,84,54.0062,0.7692
0.84,56.3895,38.6875,54.7188,82.0625,100.4813,56.3895,155,104.0062,84,54.0062,0.7692
0.85,56.3895,38.6875,54.9438,82.0625,100.3937,56.3895,155,104.0062,84,54.0062,0.7692
0.86,56.3895,38.6875,54.3312,82.0625,99.9969,56.3895,155,104.0062,84,54.0062,0.7692
0.87,56.3895,38.6875,53.7687,82.0625,100.0281,56.3895,155,104.0062,84,54.0062,0.7692
0.88,56.3895,38.6875,53.2031,82.0625,99.3656,56.3895,155,104.0062,84,54.0062,0.7692
0.89,56.3895,38.6875,53.2,82.0625,98.9906,56.3895,155,104.0062,84,54.0062,0.7692
0.9,56.3895,38.6875,53.1844,82.0625,98.925,56.3895,155,104.0062,84,54.0062,0.7692
0.91,56.3895,38.6875,53.2,82.0625,97.9594,56.3895,155,104.0062,84,54.0062,0.7692
0.92,56.3895,38.6875,53.225,82.0625,97.8906,56.3895,155,104.0062,84,54.0062,0.7692
0.93,56.3895,38.6875,53.1969,82.0625,97.5375,56.3895,155,104.0062,84,54.0062,0.7692
0.94,56.3895,38.6875,52.4312,82.0625,96.9719,56.3895,155,104.0062,84,54.0062,0.7692
