Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
0,66.95973206,49.65625,71.209375,93.875,111.8343773,8.760364532,138.0062561,106.0062485,83.00624847,66,0.660378218
0.01,66.95973206,49.65625,71.925,93.875,113.125,8.760364532,138.0062561,106.0062485,83.00624847,66,0.660378218
0.02,66.95973206,49.65625,73.04375,93.875,114.7437477,8.760364532,138.0062561,106.0062485,83.00624847,66,0.660378218
0.03,66.9597,49.6563,74.0187,93.875,114.9969,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.04,66.9597,49.6563,73.4188,93.875,114.9937,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.05,66.9597,49.6563,72.925,93.875,114.8687,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.06,66.9597,49.6563,74.025,93.875,113.8812,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.07,66.9597,49.6563,75.15,93.875,112.2844,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.08,66.9597,49.6563,74.7969,93.875,111.2062,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.09,66.9597,49.6563,73.2219,93.875,109.1625,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.1,66.9597,49.6563,71.4875,93.875,107.1656,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.11,66.9597,49.6563,69.2062,93.875,105.1312,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.12,66.9597,49.6563,67.1906,93.875,103.8375,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.13,66.9597,49.6563,66.8594,93.875,102.8344,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.14,66.9597,49.6563,66.4594,93.875,101.85,8.7604,138.0063,106.0062,83.0062,66,0.6604
0.15,66.9597,49.6563,65.6094,93.875,101.0094,8.7604,138,106.0062,83,66.0062,0.6604
0.16,66.9597,49.6563,65.4875,93.875,100.3344,8.7604,138,106.0062,83,66.0062,0.6604
0.17,66.9597,49.6563,63.8719,93.875,99.3,8.7604,138,106.0062,83,66.0062,0.6604
0.18,66.9597,49.6563,59.7469,93.875,98.9937,8.7604,138,106.0062,83,66.0062,0.6604
0.19,66.9597,49.6563,56.8531,93.875,98.8781,8.7604,138,106.0062,83,66.0062,0.6604
0.2,66.9597,49.6563,55.8438,93.875,97.9688,8.7604,138,106.0062,83,66.0062,0.6604
0.21,66.9597,49.6563,55.2125,93.875,98.0062,8.7604,138,106.0062,83,66.0062,0.6604
0.22,66.9597,49.6563,54.6281,93.875,98.0062,8.7604,138,106.0062,83,66.0062,0.6604
0.23,66.9597,49.6563,54.3813,93.875,98.0062,8.7604,138,106.0062,83,66.0062,0.6604
0.24,66.9597,49.6563,54.3594,93.875,98.0062,8.7604,138,106.0062,83,66.0062,0.6604
0.25,66.9597,49.6563,53.9937,93.875,98.0062,8.7604,138,106.0062,83,66.0062,0.6604
0.26,66.9597,49.6563,53.75,93.875,97.9906,8.7604,138,106.0062,83,66.0062,0.6604
0.27,66.9597,49.6563,54.5625,93.875,97.8812,8.7604,138,106.0062,83,66.0062,0.6604
0.28,66.9597,49.6563,55.8625,93.875,96.9688,8.7604,138,106.0062,83,66.0062,0.6604
0.29,66.9597,49.6563,57.4125,93.875,97.0062,8.7604,138,106.0062,83,66.0062,0.6604
0.3,66.9597,49.6563,58.275,93.875,97.0062,8.7604,138,106.0062,83,66.0062,0.6604
0.31,66.9597,49.6563,57.4406,93.875,97.0062,8.7604,138,106.0062,83,66.0062,0.6604
0.32,66.9597,49.6563,55.6625,93.875,97.0062,8.7604,138.0063,106,83,66.0062,0.6604
0.33,66.9597,49.6563,54.4781,93.875,97.0062,8.7604,138.0063,106,83,66.0062,0.6604
0.34,66.9597,49.6563,54.1281,93.875,97.0062,8.7604,138.0063,106,83,66.0062,0.6604
0.35,66.9597,49.6563,54.1219,93.875,97.0062,8.7604,138.0063,106,83,66.0062,0.6604
0.36,66.9597,49.6563,54.3531,93.875,97.0406,8.7604,138.0063,106,83,66.0062,0.6604
