Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
0,54.14559555,38.65625,57.859375,84.65625,106.9906235,54.14559555,141,95,75.00624847,49.00624847,0.849561274
0.01,54.14559555,38.65625,58.70625,84.65625,107.0031242,54.14559555,141,95,75.00624847,49.00624847,0.849561274
0.02,54.14559555,38.65625,60.16875,84.65625,107,54.14559555,141,95,75.00624847,49.00624847,0.849561274
0.03,54.1456,38.6563,61.1969,84.6563,106.9875,54.1456,141,95,75.0062,49.0062,0.8496
0.04,54.1456,38.6563,62.9219,84.6563,106.8531,54.1456,141,95,75.0062,49.0062,0.8496
0.05,54.1456,38.6563,63.6063,84.6563,105.0562,54.1456,141,95,75.0062,49.0062,0.8496
0.06,54.1456,38.6563,63.5406,84.6563,103.2406,54.1456,141,95,75.0062,49.0062,0.8496
0.07,54.1456,38.6563,63.1063,84.6563,102.2656,54.1456,141,95,75.0062,49.0062,0.8496
0.08,54.1456,38.6563,62.8687,84.6563,101.0531,54.1456,141,95,75.0062,49.0062,0.8496
0.09,54.1456,38.6563,62.5938,84.6563,99.825,54.1456,141,95,75.0062,49.0062,0.8496
0.1,54.1456,38.6563,62.0313,84.6563,98.0187,54.1456,141.0063,95,75,49.0062,0.8496
0.11,54.1456,38.6563,60.5375,84.6563,97.0125,54.1456,141.0063,95,75,49.0062,0.8496
0.12,54.1456,38.6563,58.9406,84.6563,96.2562,54.1456,141.0063,95,75,49.0062,0.8496
0.13,54.1456,38.6563,58.6375,84.6563,95.0656,54.1456,141.0063,95,75,49.0062,0.8496
0.14,54.1456,38.6563,58.5781,84.6563,94.0094,54.1456,141.0063,95,75,49.0062,0.8496
0.15,54.1456,38.6563,58.1531,84.6563,93.2313,54.1456,141.0063,95,75,49.0062,0.8496
0.16,54.1456,38.6563,58.1594,84.6563,93.0125,54.1456,141.0063,95,75,49.0062,0.8496
0.17,54.1456,38.6563,58.1094,84.6563,93.0406,54.1456,141.0063,95,75,49.0062,0.8496
0.18,54.1456,38.6563,57.3594,84.6563,92.2344,54.1456,141.0063,95,75,49.0062,0.8496
0.19,54.1456,38.6563,56.4438,84.6563,92.0125,54.1456,141.0063,95,75,49.0062,0.8496
0.2,54.1456,38.6563,54.8219,84.6563,91.9875,54.1456,141.0063,95,75,49.0062,0.8496
0.21,54.1456,38.6563,53.6375,84.6563,91.7906,54.1456,141.0063,95.0031,75.0031,49.0062,0.8496
0.22,54.1456,38.6563,53.1656,84.6563,91.7344,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.23,54.1456,38.6563,53.0156,84.6563,91.9938,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.24,54.1456,38.6563,52.4719,84.6563,91.9906,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.25,54.1456,38.6563,51.8312,84.6563,91.7906,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.26,54.1456,38.6563,50.775,84.6563,91.7344,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.27,54.1456,38.6563,50.1781,84.6563,91.9938,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.28,54.1456,38.6563,50.7,84.6563,92.0031,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.29,54.1456,38.6563,51.9312,84.6563,91.9875,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.3,54.1456,38.6563,53.1437,84.6563,91.7781,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.31,54.1456,38.6563,52.9937,84.6563,91.5625,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.32,54.1456,38.6563,52.0875,84.6563,90.9562,54.1456,141.0063,95.0062,75.0062,49.0062,0.8496
0.33,54.1456,38.6563,51.2594,84.6563,91.0062,54.1456,141.0031,95.0062,75.0062,49.0031,0.8496
0.34,54.1456,38.6563,50.7094,84.6563,91.0031,54.1456,141,95.0062,75.0062,49,0.8496
0.35,54.1456,38.6563,50.7,84.6563,91.0406,54.1456,141,95.0062,75.0062,49,0.8496
0.36,54.1456,38.6563,50.7094,84.6563,90.2313,54.1456,141,95.0062,75.0062,49,0.8496
0.37,54.1456,38.6563,50.6969,84.6563,90,54.1456,141,95.0062,75.0062,49,0.8496
0.38,54.1456,38.6563,50.6844,84.6563,89.825,54.1456,141,95.0062,75.0062,49,0.8496
0.39,54.1456,38.6563,50.6031,84.6563,89,54.1456,141,95.0062,75.0062,49,0.8496
0.4,54.1456,38.6563,50.2156,84.6563,88.1813,54.1456,141,95.0062,75.0062,49,0.8496
0.41,54.1456,38.6563,50.1719,84.6563,88.5969,54.1456,141,95.0062,75.0062,49,0.8496
0.42,54.1456,38.6563,50.6031,84.6563,87.7781,54.1456,141,95.0062,75.0062,49,0.8496
0.43,54.1456,38.6563,50.6844,84.6563,86.9656,54.1456,141,95.0062,75.0062,49,0.8496
0.44,54.1456,38.6563,50.7156,84.6563,87.0406,54.1456,141,95.0062,75.0062,49,0.8496
0.45,54.1456,38.6563,50.3188,84.6563,86.2281,54.1456,141.0031,95.0062,75.0031,49,0.8496
0.46,54.1456,38.6563,49.1812,84.6563,86.05,54.1456,141.0063,95.0062,75,49,0.8496
0.47,54.1456,38.6563,48.5313,84.6563,85.2313,54.1456,141.0063,95.0062,75,49,0.8496
0.48,54.1456,38.6563,48.2,84.6563,85.0125,54.1456,141.0063,95.0062,75,49,0.8496
0.49,54.1456,38.6563,48.2563,84.6563,84.9875,54.1456,141.0063,95.0062,75,49,0.8496
0.5,54.1456,38.6563,48.3469,84.6563,84.8406,54.1456,141.0063,95.0062,75,49,0.8496
0.51,54.1456,38.6563,48.7219,84.6563,84.125,54.1456,141.0063,95.0062,75,49,0.8496
0.52,54.1456,38.6563,48.7156,84.6563,84.8656,54.1456,141.0063,95.0062,75,49,0.8496
0.53,54.1456,38.6563,48.7188,84.6563,83.9625,54.1456,141.0063,95.0062,75,49,0.8496
0.54,54.1456,38.6563,48.3563,84.6563,84.0406,54.1456,141.0063,95.0062,75,49,0.8496
0.55,54.1456,38.6563,47.0438,84.6563,83.2313,54.1456,141.0063,95.0062,75,49,0.8496
0.56,54.1456,38.6563,45.3563,84.6563,83.0125,54.1456,141.0063,95.0062,75,49,0.8496
0.57,54.1456,38.6563,44.1094,84.6563,83,54.1456,141.0063,95,75.0062,49,0.8496
0.58,54.1456,38.6563,43.4031,84.6563,83.0406,54.1456,141.0063,95,75.0062,49,0.8496
0.59,54.1456,38.6563,43.4656,84.6563,82.2313,54.1456,141.0063,95,75.0062,49,0.8496
0.6,54.1456,38.6563,43.8281,84.6563,82.0125,54.1456,141.0063,95,75.0062,49,0.8496
0.61,54.1456,38.6563,43.8062,84.6563,82,54.1456,141.0063,95,75.0062,49,0.8496
0.62,54.1456,38.6563,43.825,84.6563,82,54.1456,141.0063,95,75.0062,49,0.8496
0.63,54.1456,38.6563,43.8,84.6563,82,54.1456,141.0063,95,75.0062,49,0.8496
0.64,54.1456,38.6563,43.5688,84.6563,82,54.1456,141.0063,95,75.0062,49,0.8496
0.65,54.1456,38.6563,43.3281,84.6563,81.9875,54.1456,141.0063,95,75.0062,49,0.8496
0.66,54.1456,38.6563,42.9438,84.6563,81.8281,54.1456,141.0063,95,75.0062,49,0.8496
0.67,54.1456,38.6563,43.3312,84.6563,80.9656,54.1456,141.0063,95,75.0062,49,0.8496
0.68,54.1456,38.6563,43.3125,84.6563,81.0031,54.1456,141.0063,95,75.0062,49,0.8496
0.69,54.1456,38.6563,42.875,84.6563,81,54.1456,141.0063,95.0062,75,49,0.8496
0.7,54.1456,38.6563,42.4625,84.6563,80.9875,54.1456,141.0063,95.0062,75,49,0.8496
0.71,54.1456,38.6563,42.3906,84.6563,80.8281,54.1456,141.0063,95.0062,75,49,0.8496
0.72,54.1456,38.6563,42.8406,84.6563,79.9656,54.1456,141.0063,95.0062,75,49,0.8496
0.73,54.1456,38.6563,42.1625,84.6563,80.0531,54.1456,141.0063,95.0062,75,49,0.8496
0.74,54.1456,38.6563,41.8031,84.6563,79.4563,54.1456,141.0063,95.0062,75,49,0.8496
0.75,54.1456,38.6563,41.0031,84.6563,79.4906,54.1456,141.0063,95.0062,75,49,0.8496
0.76,54.1456,38.6563,40.0906,84.6563,79.325,54.1456,141.0063,95.0062,75,49,0.8496
0.77,54.1456,38.6563,39.4531,84.6563,78.4125,54.1456,141.0063,95.0062,75,49,0.8496
0.78,54.1456,38.6563,39.9813,84.6563,79.0906,54.1456,141.0063,95.0062,75,49,0.8496
0.79,54.1456,38.6563,40.8156,84.6563,78.2281,54.1456,141.0063,95.0062,75,49,0.8496
0.8,54.1456,38.6563,40.5844,84.6563,78.0125,54.1456,141.0063,95.0062,75,49,0.8496
0.81,54.1456,38.6563,39.9594,84.6563,77.9875,54.1456,141,95.0062,75,49,0.8496
0.82,54.1456,38.6563,39.8531,84.6563,77.8406,54.1456,140.9906,95.0156,75.0437,49.0562,0.8496
0.83,54.1456,38.6563,40.0313,84.6563,77.1188,54.1456,140.8125,95.1937,75.5688,49.7594,0.8496
0.84,54.1456,38.6563,39.9813,84.6563,78.9969,54.1456,139.9625,96.0438,78.1219,53.1594,0.8496
0.85,54.1456,38.6563,39.3937,84.6563,81.2406,54.1456,140.0031,96.0031,78,53.0031,0.8496
0.86,54.1456,38.6563,39.3312,84.6563,87.7938,54.1456,140,96,78.0062,53.0062,0.8496
0.87,54.1456,38.6563,38.8687,84.6563,96.7031,54.1456,140,96,78.0062,53.0062,0.8496
0.88,54.1456,38.6563,38.8344,84.6563,108.7031,54.1456,140,96,78.0062,53.0062,0.8496
0.89,54.1456,38.6563,39.0844,84.6563,121.0469,54.1456,140,96,78.0062,53.0062,0.8496
0.9,54.1456,38.6563,41.45,84.6563,130.9094,54.1456,140,96,78.0062,53.0062,0.8496
0.91,54.1456,38.6563,47.0812,84.6563,137.8,54.1456,140,96,78.0062,53.0062,0.8496
0.92,54.1456,38.6563,54.7094,84.6563,140.0781,54.1456,140.0031,96.0031,78.0031,53.0031,0.8496
0.93,54.1456,38.6563,61.9469,84.6563,139.0875,54.1456,140.0063,96.0062,78,53,0.8496
0.94,54.1456,38.6563,68.5594,84.6563,135.9781,54.1456,140.0063,96.0062,78,53,0.8496
0.95,54.1456,38.6563,73.6156,84.6563,130.3125,54.1456,140.0063,96.0062,78,53,0.8496
0.96,54.1456,38.6563,77.825,84.6563,125.3656,54.1456,140.0063,96.0062,78,53,0.8496
0.97,54.1129,39.1063,79.4375,83.175,120.3625,54.1129,140.0063,96.0062,78,53,0.8143
0.98,54.0367,40.1563,78.1844,79.7188,115.3375,54.0367,140.0063,96.0062,78,53,0.7321
0.99,54.0367,40.1563,75.7594,79.7188,111.275,54.0367,140.0063,96.0062,78,53,0.7321
1,54.0367,40.1563,73.6375,79.7188,108.1031,54.0367,140.0063,96.0062,78,53,0.7321
1.01,54.0367,40.1563,72.0875,79.7188,105.0281,54.0367,140.0063,96.0062,78,53,0.7321
1.02,54.0367,40.1563,71.5438,79.7188,103.2344,54.0367,140.0063,96.0062,78,53,0.7321
1.03,54.0367,40.1563,70.4719,79.7188,102.2375,54.0367,140.0063,96.0062,78,53,0.7321
1.04,54.0367,40.1563,69.2875,79.7188,102.0125,54.0367,140.0031,96.0031,78,53,0.7321
1.05,54.0367,40.1563,68.0625,79.7188,102.0156,54.0367,140,96,78,53,0.7321
1.06,54.0367,40.1563,67.1344,79.7188,102.1969,54.0367,140,96,78,53,0.7321
1.07,54.0367,40.1563,66.4219,79.7188,103.1813,54.0367,140,96,78,53,0.7321
1.08,54.0367,40.1563,65.8438,79.7188,104.8156,54.0367,140,96,78,53,0.7321
1.09,54.0367,40.1563,64.8719,79.7188,104.9906,54.0367,140,96,78,53,0.7321
1.1,54.0367,40.1563,64.1656,79.7188,105.0313,54.0367,140,96,78,53,0.7321
1.11,54.0367,40.1563,64.0844,79.7188,104.05,54.0367,140,96,78,53,0.7321
1.12,54.0367,40.1563,64.3531,79.7188,103.0125,54.0367,140,96,78,53,0.7321
1.13,54.0367,40.1563,64.9406,79.7188,102.2281,54.0367,140,96,78,53,0.7321
1.14,54.0367,40.1563,65.025,79.7188,102.0125,54.0367,140,96,78,53,0.7321
1.15,54.0367,40.1563,64.1188,79.7188,101.9625,54.0367,140,96,78,53,0.7321
1.16,54.0367,40.1563,62.5031,79.7188,102.7938,54.0367,140.0031,96,78,53.0031,0.7321
1.17,54.0367,40.1563,61.7125,79.7188,103.0969,54.0367,140.0063,96,78,53.0062,0.7321
1.18,54.0367,40.1563,60.6969,79.7188,105.5938,54.0367,140.0063,96,78,53.0062,0.7321
1.19,54.0367,40.1563,59.4469,79.7188,105.9594,54.0367,140.0063,96,78,53.0062,0.7321
1.2,54.0367,40.1563,57.1875,79.7188,106.9594,54.0367,140.0063,96,78,53.0062,0.7321
1.21,54.0367,40.1563,55.8719,79.7188,108.0344,54.0367,140.0063,96,78,53.0062,0.7321
1.22,54.0367,40.1563,56.0063,79.7188,107.9531,54.0367,140.0063,96,78,53.0062,0.7321
1.23,54.0367,40.1563,58.1875,79.7188,108.5875,54.0367,140.0063,96,78,53.0062,0.7321
1.24,54.0367,40.1563,60.8531,79.7188,107.8125,54.0367,140.0063,96,78,53.0062,0.7321
1.25,54.0367,40.1563,62.8062,79.7188,106.175,54.0367,140.0063,96,78,53.0062,0.7321
1.26,54.0367,40.1563,62.5906,79.7188,105.8594,54.0367,140.0063,96,78,53.0062,0.7321
