Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
0.59,65.0784,47.5938,62.0625,105,104.0156,65.0784,165,109.0062,89.0062,55,0.8821
0.6,65.0784,47.5938,60.2875,105,104.2375,65.0784,165,109.0062,89.0062,55,0.8821
0.61,65.0784,47.5938,58.9312,105,104.4844,65.0784,165.0031,109.0031,89.0031,55,0.8821
0.62,65.0784,47.5938,58.9781,105,104.2188,65.0784,165.0063,109,89,55,0.8821
0.63,65.0784,47.5938,60.1031,105,104.6094,65.0784,165.0063,109,89,55,0.8821
0.64,65.0784,47.5938,60.6812,105,103.9531,65.0784,165.0063,109,89,55,0.8821
0.65,65.0784,47.5938,60.6938,105,104.0031,65.0784,165.0063,109,89,55,0.8821
0.66,65.0784,47.5938,60.2687,105,104.0406,65.0784,165.0063,109,89,55,0.8821
0.67,65.0784,47.5938,59.6688,105,103.2594,65.0784,165.0063,109,89,55,0.8821
0.68,65.0784,47.5938,60.0656,105,102.2313,65.0784,165.0063,109,89,55,0.8821
0.69,65.0784,47.5938,60.0844,105,102,65.0784,165.0063,109,89,55,0.8821
0.7,65.0784,47.5938,59.4594,105,101.8187,65.0784,165.0063,109,89,55,0.8821
0.71,65.0784,47.5938,59.1688,105,100.9625,65.0784,165.0063,109,89,55,0.8821
0.72,65.0784,47.5938,58.7469,105,101.0406,65.0784,165.0063,109,89,55,0.8821
0.73,65.0784,47.5938,59.7844,105,100.2062,65.0784,165.0063,109,89,55,0.8821
0.74,65.0784,47.5938,62.3563,105,99.8281,65.0784,165.0063,109,89,55,0.8821
0.75,65.0784,47.5938,62.6656,105,99.0125,65.0784,165.0063,109,89,55,0.8821
0.76,65.0784,47.5938,60.2281,105,98.4063,65.0784,165.0063,109,89,55,0.8821
0.77,65.0784,47.5938,58.4438,105,99.0906,65.0784,165.0063,109,89,55,0.8821
0.78,65.0784,47.5938,56.6125,105,98.2188,65.0784,165.0063,109,89,55,0.8821
0.79,65.0784,47.5938,54.3438,105,98.05,65.0784,165.0063,109,89,55,0.8821
0.8,65.0784,47.5938,53.8062,105,97.2188,65.0784,165.0063,109,89,55,0.8821
0.81,65.0784,47.5938,54.2406,105,97,65.0784,165.0063,109,89,55,0.8821
0.82,65.0784,47.5938,54.8656,105,96.8156,65.0784,165.0031,109,89,55.0031,0.8821
0.83,65.0784,47.5938,55.4469,105,95.9625,65.0784,165,109,89,55.0062,0.8821
0.84,65.0784,47.5938,55.6375,105,96.0406,65.0784,165,109,89,55.0062,0.8821
0.85,65.0784,47.5938,55.45,105,95.2094,65.0784,165,109,89,55.0062,0.8821
0.86,65.0784,47.5938,54.1781,105,94.7906,65.0784,165,109,89,55.0062,0.8821
0.87,65.0784,47.5938,53.0313,105,94.7313,65.0784,165,109,89,55.0062,0.8821
0.88,65.0784,47.5938,51.6969,105,94.8594,65.0784,165,109,89,55.0062,0.8821
0.89,65.0784,47.5938,50.7281,105,93.4031,65.0784,165,109,89,55.0062,0.8821
0.9,65.0784,47.5938,51.3281,105,93.2594,65.0784,165,109,89,55.0062,0.8821
0.91,65.0784,47.5938,52.4906,105,92.825,65.0784,165,109,89,55.0062,0.8821
0.92,65.0784,47.5938,52.7125,105,91.9625,65.0784,165,109,89,55.0062,0.8821
0.93,65.0784,47.5938,52.2188,105,92.0406,65.0784,165,109,89,55.0062,0.8821
0.94,65.0784,47.5938,51.3531,105,91.2188,65.0784,165,109,89,55.0062,0.8821
0.95,65.0784,47.5938,51.7094,105,91.0125,65.0784,165,109,89,55.0062,0.8821
0.96,65.0784,47.5938,52.8312,105,91,65.0784,165,109,89,55.0062,0.8821
0.97,65.0784,47.5938,53.2,105,91,65.0784,165,109,89,55.0062,0.8821
0.98,65.0784,47.5938,52.9937,105,91,65.0784,165,109,89,55.0062,0.8821
0.99,65.0784,47.5938,52.1063,105,91.0156,65.0784,164.7031,108.9125,89.0437,55.1469,0.8821
1,65.0784,47.5938,50.1125,105,91.2031,65.0784,160.6219,107.6687,89.575,57.1,0.8821
1.01,65.0784,47.5938,48.5344,105,92.1688,65.0784,141.0969,101.7281,92.1219,66.4375,0.8821
1.02,65.0784,47.5938,47.9625,105,94.7375,65.0784,142.0125,102.0063,92,66,0.8821
1.03,65.0784,47.5938,48.55,105,99.0281,65.0784,142.0031,102.0062,92.0062,66.0031,0.8821
