Time (s),MCAv_mean,MCAv_dia,MCAv_raw,MCAv_sys,FP_raw,HCU_pressure,Systolic,Mean_arterial,Diastolic,HR,MCA_PI
0,49.85211563,36.25,46.603125,66.21875,125.4781265,49.85211563,147,130,119.0062485,80.00624847,0.601153016
0.01,49.85211563,36.25,47.715625,66.21875,125.4937515,49.85211563,147,130,119.0062485,80.00624847,0.601153016
0.02,49.85211563,36.25,47.38125,66.21875,125.3499985,49.85211563,147,130,119.0062485,80.00624847,0.601153016
0.03,49.8521,36.25,45.8281,66.2188,125.0344,49.8521,147,130,119.0062,80.0062,0.6012
0.04,49.8521,36.25,44.85,66.2188,124.3156,49.8521,147,130,119.0062,80.0062,0.6012
0.05,49.8521,36.25,44.2219,66.2188,124.0062,49.8521,147,130,119.0062,80.0062,0.6012
0.06,49.8521,36.25,43.85,66.2188,123.9875,49.8521,147,130,119.0062,80.0062,0.6012
0.07,49.8521,36.25,43.85,66.2188,123.8969,49.8521,147,130,119.0062,80.0062,0.6012
0.08,49.8521,36.25,43.3781,66.2188,122.9594,49.8521,147,130,119.0062,80.0062,0.6012
0.09,49.8521,36.25,42.5844,66.2188,122.9,49.8521,147,130,119.0062,80.0062,0.6012
0.1,49.8521,36.25,41.8594,66.2188,121.9719,49.8521,147,130,119.0062,80.0062,0.6012
0.11,49.8521,36.25,42.2437,66.2188,122.0406,49.8521,147,130,119.0062,80.0062,0.6012
0.12,49.8521,36.25,42.9813,66.2188,121.3688,49.8521,147,130,119.0062,80.0062,0.6012
0.13,49.8521,36.25,43.3563,66.2188,120.4594,49.8521,147,130,119.0062,80.0062,0.6012
0.14,49.8521,36.25,43.0312,66.2188,120.3375,49.8521,147,130,119.0062,80.0062,0.6012
0.15,49.8521,36.25,42.6313,66.2188,119.8938,49.8521,147,130,119.0062,80.0062,0.6012
0.16,49.8521,36.25,42.025,66.2188,118.9562,49.8521,147,130,119.0062,80.0062,0.6012
0.17,49.8521,36.25,41.4281,66.2188,118.9,49.8521,147,130,119.0062,80.0062,0.6012
0.18,49.8521,36.25,41.375,66.2188,117.9594,49.8521,147,130,119.0062,80.0062,0.6012
0.19,49.8521,36.25,41.3563,66.2188,117.9,49.8521,147,130,119.0062,80.0062,0.6012
0.2,49.8521,36.25,40.4813,66.2188,116.9719,49.8521,147,130,119.0062,80.0062,0.6012
0.21,49.8521,36.25,39.7406,66.2188,117.0062,49.8521,147,130,119.0062,80.0062,0.6012
0.22,49.8521,36.25,39.1406,66.2188,116.9875,49.8521,147,130,119.0062,80.0062,0.6012
0.23,49.8521,36.25,38.8813,66.2188,116.9125,49.8521,147.0094,130.0094,119.0094,80,0.6012
0.24,49.8521,36.25,37.9781,66.2188,116.075,49.8521,147.1375,130.1031,119.0687,79.9375,0.6012
0.25,49.8521,36.25,37.2687,66.2188,117.05,49.8521,144.2594,127.9438,117.6312,81.375,0.6012
0.26,49.8521,36.25,36.6875,66.2188,117.0938,49.8521,143.0156,127.0125,117.0094,81.9969,0.6012
0.27,49.8521,36.25,36.4406,66.2188,118.875,49.8521,142.9938,126.9969,117,82.0094,0.6012
0.28,49.8521,36.25,37.0344,66.2188,122.5031,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.29,49.8521,36.25,37.4531,66.2188,125.6344,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.3,49.8521,36.25,37.7781,66.2188,131.3187,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.31,49.8521,36.25,38.7938,66.2188,135.5906,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.32,49.8521,36.25,40.6281,66.2188,139.6062,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.33,49.8521,36.25,43.8594,66.2188,142.7437,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.34,49.8521,36.25,47.6844,66.2188,142.9875,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.35,49.8521,36.25,53.5187,66.2188,142.9219,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.36,49.8521,36.25,59.9813,66.2188,141.1813,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.37,49.8521,36.25,63.3312,66.2188,140,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.38,49.8521,36.25,63.6469,66.2188,139.25,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.39,49.8521,36.25,63.9781,66.2188,137.3375,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.4,49.8521,36.25,65.5531,66.2188,136.4625,49.8521,143,127.0062,117.0062,82.0062,0.6012
0.41,48.4727,38.25,65.8531,66.9188,136.35,48.4727,143,127.0062,117.0062,82.0062,0.5914
0.42,48.1278,38.75,64.1469,67.0938,135.9656,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.43,48.1278,38.75,60.7281,67.0938,136.6844,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.44,48.1278,38.75,56.5,67.0938,136.9656,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.45,48.1278,38.75,55.8937,67.0938,137.6938,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.46,48.1278,38.75,55.8031,67.0938,138.0312,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.47,48.1278,38.75,55.2188,67.0938,137.3063,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.48,48.1278,38.75,55.2094,67.0938,136.9219,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.49,48.1278,38.75,56.3031,67.0938,135.2,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.5,48.1278,38.75,58.65,67.0938,133.2094,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.51,48.1278,38.75,59.9781,67.0938,131.2156,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.52,48.1278,38.75,59.6969,67.0938,129.2906,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.53,48.1278,38.75,57.6219,67.0938,129.0094,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.54,48.1278,38.75,55.4094,67.0938,129,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.55,48.1278,38.75,53.6688,67.0938,128.9844,48.1278,143,127.0062,117.0062,82.0062,0.5889
0.56,48.1278,38.75,50.3125,67.0938,129.7937,48.1278,143,127.0062,117.0062,82.0062,0.5889
